series,location,keywords,numpages,pages,booktitle,abstract,doi,url,address,publisher,isbn,year,title,author,ENTRYTYPE,ID,articleno,month,journal,issn,number,volume,issue_date,note
CHI '25,,"Generative User Interface, Malleable User Interface",20,,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,"Unlike static and rigid user interfaces, generative and malleable user interfaces offer the potential to respond to diverse users’ goals and tasks. However, current approaches primarily rely on generating code, making it difficult for end-users to iteratively tailor the generated interface to their evolving needs. We propose employing task-driven data models—representing the essential information entities, relationships, and data within information tasks—as the foundation for UI generation. We leverage AI to interpret users’ prompts and generate the data models that describe users’ intended tasks, and by mapping the data models with UI specifications, we can create generative user interfaces. End-users can easily modify and extend the interfaces via natural language and direct manipulation, with these interactions translated into changes in the underlying model. The technical evaluation of our approach and user evaluation of the developed system demonstrate the feasibility and effectiveness of the proposed generative and malleable UIs.",10.1145/3706598.3713285,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3706598.3713285,"New York, NY, USA",Association for Computing Machinery,9798400713941,2025,Generative and Malleable User Interfaces with Generative and Evolving Task-Driven Data Model,"Cao, Yining and Jiang, Peiling and Xia, Haijun",inproceedings,10.1145/3706598.3713285,686,,,,,,,
UIST '25,,"Tabular data, visual data story, exploratory data analysis, large language models.",16,,Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,"Insights in tabular data capture valuable patterns that help analysts understand critical information. Organizing related insights into visual data stories is crucial for in-depth analysis. However, constructing such stories is challenging because of the complexity of the inherent relations between extracted insights. Users face difficulty sifting through a vast number of discrete insights to integrate specific ones into a unified narrative that meets their analytical goals. Existing methods either heavily rely on user expertise, making the process inefficient, or employ automated approaches that cannot fully capture their evolving goals. In this paper, we introduce InReAcTable, a framework that enhances visual data story construction by establishing both structural and semantic connections between data insights. Each user interaction triggers the Acting module, which utilizes an insight graph for structural filtering to narrow the search space, followed by the Reasoning module using the retrieval-augmented generation method based on large language models for semantic filtering, ultimately providing insight recommendations aligned with the user’s analytical intent. Based on the InReAcTable framework, we develop an interactive prototype system that guides users to construct visual data stories aligned with their analytical requirements. We conducted a case study and a user experiment to demonstrate the utility and effectiveness of the InReAcTable framework and the prototype system for interactively building visual data stories.",10.1145/3746059.3747719,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3746059.3747719,"New York, NY, USA",Association for Computing Machinery,9798400720376,2025,InReAcTable: LLM-powered Interactive Visual Data Story Construction from Tabular Data,"Aodeng, Gerile and Li, Guozheng and Feng, Yunshan and Chen, Qiyang and Zhang, Yu and Liu, Chi Harold",inproceedings,10.1145/3746059.3747719,139,,,,,,,
CHI '25,,"augmented reality, face filters, trans technology, community-based participatory research, LGBTQ+, transgender",15,,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,"Transgender people often use face filters to try and see different possible futures: versions of what they might look like during or post transition, or how they might appear in an ideal future or alternate world. However, there are effectively no face filters made for trans people to feel good using. As a result, people often end up feeling bad or dysphoric instead of supported in their pursuit to envision the future. We asked 44 trans people about augmented reality and face filters, and to speculate on future technologies that would support their wellbeing and desires for transition. We found that trans-affirming face filters would be designed to support data privacy, agency, intersectionality, and consideration for expansive identity categories. Meeting these design goals would enable trans people to explore many different radically possible futures, facilitating expansive, transformative, self-perceptions that honor the multiplicity inherent in trans identity.",10.1145/3706598.3713991,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3706598.3713991,"New York, NY, USA",Association for Computing Machinery,9798400713941,2025,"""That Moment of Curiosity"": Augmented Reality Face Filters for Transgender Identity Exploration, Gender Affirmation, and Radical Possibility","Brewster, Kat and DeGuia, Aloe and Mayworm, Samuel and Khan, F. Ria and Monier, Mel and Starks, Denny L and Haimson, Oliver L.",inproceedings,10.1145/3706598.3713991,90,,,,,,,
HRI '25,"Melbourne, Australia","assistive technology, children, collaboration, collaborative robots, creativity",10,321–330,Proceedings of the 2025 ACM/IEEE International Conference on Human-Robot Interaction,"This research designs and applies inclusive child-robot interactions for collaborative creativity, where elementary school children and a social robot collaboratively create and publish picture stories. The robot offers creativity scaffolding during parts of the creative process of storytelling through social interactions such as feedback, question asking, divergent thinking, and positive reinforcement. The collaborative tasks and robot interactions are personalized for neurodivergent children's unique needs. Through a five-session user study with 32 children (ages 5--9) over 8 months, we investigate the impact of the social robot on children's exhibited creativity in storytelling over time, their creative interactions with the robot, and their perceptions of the robot as a creative collaborator. Our research revealed that inclusive design practices eliminated creative barriers for children with neurodevelopmental disorders. The robot's creativity scaffolding interactions positively influenced children's verbal creativity in storytelling, and had an influence on their storytelling creative process. After multiple sessions interacting with the robot, we observed the emergence of diverse creator styles among neurodivergent learners. We propose Inclusive Co-creative Child-robot Interaction (ICCRI) guidelines for fostering creativity in children, and accommodating diverse creator styles in complex, open-ended creative tasks.",,,,IEEE Press,,2025,Towards Inclusive Co-creative Child-robot Interaction: Can Social Robots Support Neurodivergent Children's Creativity?,"Ali, Safinah and Abodayeh, Ayat and Dhuliawala, Zahra and Breazeal, Cynthia and Park, Hae Won",inproceedings,10.5555/3721488.3721531,,,,,,,,
,,"gaze tracking, information query, information retrieval, large language models, smart glasses",33,,,"Modern information querying systems are progressively incorporating multimodal inputs like vision and audio. However, the integration of gaze --- a modality deeply linked to user intent and increasingly accessible via gaze-tracking wearables --- remains underexplored. This paper introduces a novel gaze-facilitated information querying paradigm, named G-VOILA, which synergizes users' gaze, visual field, and voice-based natural language queries to facilitate a more intuitive querying process. In a user-enactment study involving 21 participants in 3 daily scenarios (p = 21, scene = 3), we revealed the ambiguity in users' query language and a gaze-voice coordination pattern in users' natural query behaviors with G-VOILA. Based on the quantitative and qualitative findings, we developed a design framework for the G-VOILA paradigm, which effectively integrates the gaze data with the in-situ querying context. Then we implemented a G-VOILA proof-of-concept using cutting-edge deep learning techniques. A follow-up user study (p = 16, scene = 2) demonstrates its effectiveness by achieving both higher objective score and subjective score, compared to a baseline without gaze data. We further conducted interviews and provided insights for future gaze-facilitated information querying systems.",10.1145/3659623,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3659623,"New York, NY, USA",Association for Computing Machinery,,2024,G-VOILA: Gaze-Facilitated Information Querying in Daily Scenarios,"Wang, Zeyu and Shi, Yuanchun and Wang, Yuntao and Yao, Yuchen and Yan, Kun and Wang, Yuhan and Ji, Lei and Xu, Xuhai and Yu, Chun",article,10.1145/3659623,78,May,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,,2,8,June 2024,
DIS '25,,"Conversational Agents, LLM, Anthropomorphism, Home Automation, Environmental Sustainability",21,1563–1583,Proceedings of the 2025 ACM Designing Interactive Systems Conference,"The paper investigates the integration of Large Language Models (LLMs) into Conversational Agents (CAs) to encourage a shift in consumption patterns from a demand-driven to a supply-based paradigm. Specifically, the research examines the role of anthropomorphic design in delivering environmentally conscious messages by comparing two CA designs: a personified agent representing an appliance and a traditional, non-personified assistant. A lab study (N=26) assessed the impact of these designs on interaction, perceived self-efficacy, and engagement. Results indicate that LLM-based CAs significantly enhance users’ self-reported eco-friendly behaviors, with participants expressing greater confidence in managing energy consumption. While the anthropomorphic design did not notably affect self-efficacy, those interacting with the personified agent reported a stronger sense of connection with the system. These findings suggest that although anthropomorphic CAs may improve user engagement, both designs hold promise for fostering sustainable behaviors in home energy management.",10.1145/3715336.3735700,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3715336.3735700,"New York, NY, USA",Association for Computing Machinery,9798400714856,2025,Exploring Anthropomorphism in Conversational Agents for Environmental Sustainability,"Giudici, Mathyas and Scherini, Samuele and Chaussumier, Pascal and Ginocchio, Stefano and Garzotto, Franca",inproceedings,10.1145/3715336.3735700,,,,,,,,
IMX '25,,"Artificial Intelligence, Digital Interpretation, Extended Reality, Industrial Heritage, Narrative Design",13,17–29,Proceedings of the 2025 ACM International Conference on Interactive Media Experiences,"This paper presents a Research Through Design investigation exploring innovative approaches to industrial heritage interpretation through extended reality (XR) technologies and narrative design. Using the historic Finlayson Factory in Tampere, Finland as a case study, we developed ""Who Killed Helene Pumpulivaara?"" - an interactive heritage experience that combines crime mystery narrative with XR technology to address key challenges in digital heritage interpretation, particularly decontextualization and accessibility. Our methodology used emerging AI tools and accessible technologies to create a multi-platform experience implemented across web and VR environments. The research revealed several significant findings: first, the varying fidelity levels between AI-generated and authentic content created an unexpected advantage in distinguishing historical fact from creative interpretation; second, combining accessible technologies with AI-assisted content generation can democratize the creation of engaging digital heritage experiences; and third, spatial relationships and narrative progression can effectively counter decontextualization concerns in digital heritage. The implementation points toward spatial augmented reality as a promising direction for future heritage interpretation, suggesting possibilities for deeper integration with physical spaces through interactive projections. This research contributes to ongoing discussions about democratizing heritage interpretation and demonstrates how thoughtful integration of emerging technologies can enhance rather than diminish authentic heritage experiences, while making industrial history more engaging for contemporary audiences.",10.1145/3706370.3727863,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3706370.3727863,"New York, NY, USA",Association for Computing Machinery,9798400713910,2025,Who Killed Helene Pumpulivaara?: Exploring Narrative Design and Extended Reality in Industrial Heritage Interpretation,"Shawash, Janset and Thibault, Mattia and Hamari, Juho",inproceedings,10.1145/3706370.3727863,,,,,,,,
,,"3D mesh texturing, texture transfer, diffusion models",11,,,"We present a novel approach for single-image mesh texturing, which employs a diffusion model with judicious conditioning to seamlessly transfer an object's texture from a single RGB image to a given 3D mesh object. We do not assume that the two objects belong to the same category, and even if they do, there can be significant discrepancies in their geometry and part proportions. Our method aims to rectify the discrepancies by conditioning a pre-trained Stable Diffusion generator with edges describing the mesh through ControlNet, and features extracted from the input image using IP-Adapter to generate textures that respect the underlying geometry of the mesh and the input texture without any optimization or training. We also introduce Image Inversion, a novel technique to quickly personalize the diffusion model for a single concept using a single image, for cases where the pre-trained IP-Adapter falls short in capturing all the details from the input image faithfully. Experimental results demonstrate the efficiency and effectiveness of our edge-aware single-image mesh texturing approach, coined EASI-Tex, in preserving the details of the input texture on diverse 3D objects, while respecting their geometry.Code: https://github.com/sairajk/easi-tex",10.1145/3658222,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3658222,"New York, NY, USA",Association for Computing Machinery,,2024,EASI-Tex: Edge-Aware Mesh Texturing from Single Image,"Perla, Sai Raj Kishore and Wang, Yizhi and Mahdavi-Amiri, Ali and Zhang, Hao",article,10.1145/3658222,40,July,ACM Trans. Graph.,0730-0301,4,43,July 2024,
CHI '24,"Honolulu, HI, USA","Brainstorming, healthcare, human-centered AI, ideation",18,,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,"Advances in artificial intelligence (AI) have enabled unprecedented capabilities, yet innovation teams struggle when envisioning AI concepts. Data science teams think of innovations users do not want, while domain experts think of innovations that cannot be built. A lack of effective ideation seems to be a breakdown point. How might multidisciplinary teams identify buildable and desirable use cases? This paper presents a first hand account of ideating AI concepts to improve critical care medicine. As a team of data scientists, clinicians, and HCI researchers, we conducted a series of design workshops to explore more effective approaches to AI concept ideation and problem formulation. We detail our process, the challenges we encountered, and practices and artifacts that proved effective. We discuss the research implications for improved collaboration and stakeholder engagement, and discuss the role HCI might play in reducing the high failure rate experienced in AI innovation.",10.1145/3613904.3641896,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3613904.3641896,"New York, NY, USA",Association for Computing Machinery,9798400703300,2024,Sketching AI Concepts with Capabilities and Examples: AI Innovation in the Intensive Care Unit,"Yildirim, Nur and Zlotnikov, Susanna and Sayar, Deniz and Kahn, Jeremy M. and Bukowski, Leigh A and Amin, Sher Shah and Riman, Kathryn A. and Davis, Billie S. and Minturn, John S. and King, Andrew J. and Ricketts, Dan and Tang, Lu and Sivaraman, Venkatesh and Perer, Adam and Preum, Sarah M. and McCann, James and Zimmerman, John",inproceedings,10.1145/3613904.3641896,451,,,,,,,
CHI '24,"Honolulu, HI, USA","generative model, personalized design, semantic typography",18,,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,"Semantic typographic logos harmoniously blend typeface and imagery to represent semantic concepts while maintaining legibility. Conventional methods using spatial composition and shape substitution are hindered by the conflicting requirement for achieving seamless spatial fusion between geometrically dissimilar typefaces and semantics. While recent advances made AI generation of semantic typography possible, the end-to-end approaches exclude designer involvement and disregard personalized design. This paper presents TypeDance, an AI-assisted tool incorporating design rationales with the generative model for personalized semantic typographic logo design. It leverages combinable design priors extracted from uploaded image exemplars and supports type-imagery mapping at various structural granularity, achieving diverse aesthetic designs with flexible control. Additionally, we instantiate a comprehensive design workflow in TypeDance, including ideation, selection, generation, evaluation, and iteration. A two-task user evaluation, including imitation and creation, confirmed the usability of TypeDance in design across different usage scenarios.",10.1145/3613904.3642185,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3613904.3642185,"New York, NY, USA",Association for Computing Machinery,9798400703300,2024,TypeDance: Creating Semantic Typographic Logos from Image through Personalized Generation,"Xiao, Shishi and Wang, Liangwei and Ma, Xiaojuan and Zeng, Wei",inproceedings,10.1145/3613904.3642185,175,,,,,,,
CHI '24,"Honolulu, HI, USA","AI in Education, ChatGPT, Higher education, Large Language Models",21,,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,"A growing number of students in higher education are using ChatGPT for various educational purposes, ranging from seeking information to writing essays. Although many universities have officially banned the use of ChatGPT because of its potential harm and unintended consequences, it is still important to uncover how students leverage ChatGPT for learning, what challenges emerge, and how we can make better use of ChatGPT in higher education. Thus, we conducted focus group workshops and a series of participatory design sessions with thirty students who have actively interacted with ChatGPT for one semester in university and with other five stakeholders (e.g., professors, AI experts). Based on these, this paper identifies real opportunities and challenges of utilizing and designing ChatGPT for higher education.",10.1145/3613904.3642785,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3613904.3642785,"New York, NY, USA",Association for Computing Machinery,9798400703300,2024,"The Promise and Peril of ChatGPT in Higher Education: Opportunities, Challenges, and Design Implications","Park, Hyanghee and Ahn, Daehwan",inproceedings,10.1145/3613904.3642785,271,,,,,,,
W4A '25,,"agency, visualization, accessibility, screen-reader users, blind",13,147–159,Proceedings of the 22nd International Web for All Conference,"Screen-reader users are limited to the information that visualization creators choose for them to extract. Consequently, they cannot consume or produce information (e.g., for work) as they prefer. For example, the information in an alt-text, expected to meet the needs of all screen-reader users, may be either insufficient or excessive for some users. We present VoxEx, a system that enables users to customize the information they consume from online data visualizations. We conducted two formative studies that informed our design of VoxEx. To assess the utility of our system, we administered a field deployment of our system by integrating it with VoxLens (Sharif et al., 2022), subsequently conducting two case studies with screen-reader users and creators. We present the findings from these studies, reporting that our system improves users’ efficiency in information extraction and requires minimal effort from creators.",10.1145/3744257.3744262,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3744257.3744262,"New York, NY, USA",Association for Computing Machinery,9798400718823,2025,Increasing Agency of Screen-Reader Users in Consuming Information From Online Data Visualizations,"Sharif, Ather and Zhang, Andrew and Wobbrock, Jacob",inproceedings,10.1145/3744257.3744262,,,,,,,,
